first_name,last_name,plays,gender,country,age,DOB,height,weight,current_singles,highest_singles,current_doubles,highest_doubles,singles_main_tournaments,singles_lower_tournaments,doubles_main_tournaments,doubles_lower_tournaments,wins_singles,losses_singles,total_singles,References
హార్పర్,మిచెల్,కుడి,పురుషుడు,ఆస్ట్రేలియా,24,5. 9. 1997,178 cm,66 kg,1419,1391,2184,1508,0,0,0,0,6,16,22,https://www.tennisexplorer.com/list-players/?country=australia
మెట్రేవేలి,అలెక్సాన్డర్,కుడి,పురుషుడు,జార్జియా,28,10. 8. 1993,183 సెం.మీ,76 kg,686,264,548,184,0,7,0,7,94,81,175,https://www.tennisexplorer.com/list-players/?country=georgia
గ్రే,జోనాథన్,కుడి,పురుషుడు,గ్రేట్ బ్రిటన్,25,9. 4. 1997,185 cm,74 kg,914,538,948,662,0,2,0,2,85,75,160,https://www.tennisexplorer.com/list-players/?country=great-britain
సివాడ్జ్,జార్జ్,ఎడమ,పురుషుడు,జార్జియా,29,2. 1. 1993,191 సెం.మీ,85 kg,1264,733,1308,471,0,0,0,0,131,119,250,https://www.tennisexplorer.com/list-players/?country=georgia
స్మోలా,మాసీజ్,కుడి,పురుషుడు,పోలాండ్,29,24. 3. 1993,193 cm,95 kg,1816,624,1456,331,0,1,0,1,174,133,307,https://www.tennisexplorer.com/list-players/?country=poland
చిఖ్లాడ్జ్,లేడో,కుడి,పురుషుడు,జార్జియా,36,15. 6. 1985,,,,354,,549,0,7,0,7,8,5,13,https://www.tennisexplorer.com/list-players/?country=georgia
ఇటోనిష్విలి,నోడార్,కుడి,పురుషుడు,జార్జియా,34,14. 11. 1987,,,,1054,,1129,0,0,0,0,4,6,10,https://www.tennisexplorer.com/list-players/?country=georgia
జవఖిష్విలి,జార్జి,కుడి,పురుషుడు,జార్జియా,26,23. 10. 1995,,,,1058,,980,0,0,0,0,22,42,64,https://www.tennisexplorer.com/list-players/?country=georgia
డయారా,జిబ్రిల్,కుడి,పురుషుడు,ఆస్ట్రియా,32,26. 5. 1990,,,1558,594,,716,0,1,0,1,44,63,107,https://www.tennisexplorer.com/list-players/?country=austria
లాబాడ్జే,ఇరక్లి,ఎడమ,పురుషుడు,జార్జియా,40,9. 6. 1981,188 సెం.మీ,85 kg,,42,,110,0,9,0,9,107,101,208,https://www.tennisexplorer.com/list-players/?country=georgia
