first_name,last_name,plays,gender,country,age,DOB,height,weight,current_singles,highest_singles,current_doubles,highest_doubles,singles_main_tournmaents,singles_lower_tournaments,doubles_main_tournaments,doubles_lower_tournaments,wins_singles,losses_singles,total_singles,References
డియాజ్,ఎర్నెస్ట్,కుడి,పురుషుడు,అండోరా,40,24. 7. 1981,,,,1351,377,375,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=andorra
గెర్బాడ్ ఫెర్రస్ ,పాల్,కుడి,పురుషుడు,అండోరా,38,21. 1. 1984,,,,1473,,1534,0,0,0,0,0,3,,https://www.tennisexplorer.com/list-players/?country=andorra
జిమెనెజ్‌  గుర్రా,జోన్,కుడి,పురుషుడు,అండోరా,44,24. 1. 1978,,,,510,,357,0,0,0,0,3,18,,https://www.tennisexplorer.com/list-players/?country=andorra
పౌక్స గౌటీర్ ,జీన్ బాప్టిస్ట్,కుడి,పురుషుడు,అండోరా,40,1. 6. 1981,,,,1115,,852,0,0,0,0,1,1,,https://www.tennisexplorer.com/list-players/?country=andorra
రికౌ డె ర్క్  ,లారెంట్,కుడి,పురుషుడు,అండోరా,37,10. 7. 1984,,,,124,,320,0,16,0,16,23,49,,https://www.tennisexplorer.com/list-players/?country=andorra
తులియర్,కెనెత్ ,కుడి,పురుషుడు,అండోరా,38,7. 7. 1983,,,,1333,,944,0,0,0,0,1,3,,https://www.tennisexplorer.com/list-players/?country=andorra
బాసిలాష్విలి,నికోలోజ్,కుడి,పురుషుడు,జార్జియా,30,23. 2. 1992,185 సెం.మీ,79 kg,24,16,777,39,5,15,5,15,43,92,,https://www.tennisexplorer.com/list-players/?country=georgia
మెట్రేవేలి,అలెక్సాన్డర్,కుడి,పురుషుడు,జార్జియా,28,10. 8. 1993,183 సెం.మీ,76 kg,686,264,548,184,0,7,0,7,94,81,,https://www.tennisexplorer.com/list-players/?country=georgia
పర్ట్సెలాడ్జ్,సబా,కుడి,పురుషుడు,జార్జియా,20,20. 8. 2001,,,711,710,919,919,0,1,0,1,17,34,,https://www.tennisexplorer.com/list-players/?country=georgia
బక్షి,అలెక్సాన్డర్,ఎడమ,పురుషుడు,జార్జియా,24,15. 7. 1997,,,894,816,562,556,0,0,0,0,43,34,,https://www.tennisexplorer.com/list-players/?country=georgia
త్కేమలాడ్జ్ ,జురా,కుడి,పురుషుడు,జార్జియా,21,4. 6. 2000,185 సెం.మీ,73 kg,1099,1095,1051,540,0,0,0,0,27,42,,https://www.tennisexplorer.com/list-players/?country=georgia
సివాడ్జ్ ,జార్జ్,ఎడమ,పురుషుడు,జార్జియా,29,2. 1. 1993,191 సెం.మీ,85 kg,1264,733,1308,471,0,0,0,0,131,119,,https://www.tennisexplorer.com/list-players/?country=georgia
బుచుకూరి,బెక,కుడి,పురుషుడు,జార్జియా,31,30. 1. 1991,,,,1687,,250,0,0,0,0,,,,https://www.tennisexplorer.com/list-players/?country=georgia
